Job_Title,Experience_Level,Employment_Type,Work_Models,Work_Year,Employee_Residence,Salary, Salary_Currency ,Company_Location,Company_Size,Salary_Range,Per_Year_Pakage
Data Manager,Mid-level,Full-time,On-site,2023,United States,130000, USD ,United States,Medium,High,1560000
Data Analyst,Senior-level,Full-time,Remote,2023,United States,130000, USD ,United States,Small,High,1560000
Business Intelligence Engineer,Senior-level,Full-time,Remote,2023,United States,130000, USD ,United States,Medium,High,1560000
Data Scientist,Mid-level,Full-time,On-site,2023,United States,130000, USD ,United States,Medium,High,1560000
Data Visualization Analyst,Senior-level,Full-time,On-site,2023,United States,130000, USD ,United States,Medium,High,1560000
Machine Learning Engineer,Senior-level,Full-time,On-site,2023,United States,130000, USD ,United States,Medium,High,1560000
Data Specialist,Mid-level,Full-time,On-site,2023,United States,130000, USD ,United States,Medium,High,1560000
Financial Data Analyst,Mid-level,Full-time,Remote,2023,United States,130000, USD ,United States,Large,High,1560000
Analytics Engineer,Senior-level,Full-time,Remote,2023,United States,130000, USD ,United States,Medium,High,1560000
Applied Machine Learning Engineer,Mid-level,Full-time,On-site,2023,United States,130000, USD ,United States,Medium,High,1560000
Big Data Engineer,Entry-level,Full-time,Remote,2023,Sweden,130000, USD ,Sweden,Small,High,1560000
Machine Learning Engineer,Senior-level,Full-time,Remote,2023,Germany,130000, EUR ,Germany,Medium,High,1560000
Analytics Engineer,Senior-level,Full-time,On-site,2023,Canada,130000, USD ,Canada,Medium,High,1560000
Data Scientist,Mid-level,Full-time,Remote,2023,Canada,130000, CAD ,Canada,Small,High,1560000
Data Analyst,Mid-level,Full-time,Remote,2023,Canada,130000, USD ,Canada,Medium,High,1560000
BI Developer,Senior-level,Full-time,Remote,2022,United States,130000, USD ,United States,Large,High,1560000
Data Scientist,Entry-level,Full-time,On-site,2022,United States,130000, USD ,United States,Medium,High,1560000
Data Engineer,Senior-level,Full-time,On-site,2022,United States,130000, USD ,United States,Medium,High,1560000
Data Engineer,Mid-level,Full-time,On-site,2022,United States,130000, USD ,United States,Medium,High,1560000
Data Engineer,Senior-level,Full-time,Remote,2022,United States,130000, USD ,United States,Medium,High,1560000
Data Engineer,Mid-level,Full-time,Remote,2022,United States,130000, USD ,United States,Medium,High,1560000
Data Scientist,Executive-level,Full-time,Remote,2022,United States,130000, USD ,United States,Medium,High,1560000
Machine Learning Engineer,Mid-level,Full-time,On-site,2022,United States,130000, USD ,United States,Medium,High,1560000
Machine Learning Researcher,Mid-level,Full-time,Remote,2022,United States,130000, USD ,United States,Medium,High,1560000
Data Scientist,Senior-level,Full-time,On-site,2022,United States,130000, USD ,United States,Medium,High,1560000
Data Scientist,Mid-level,Full-time,Remote,2022,United States,130000, USD ,United States,Medium,High,1560000
Data Analyst,Senior-level,Full-time,On-site,2022,United States,130000, USD ,United States,Medium,High,1560000
Data Scientist,Senior-level,Full-time,Remote,2022,United States,130000, USD ,United States,Medium,High,1560000
Analytics Engineer,Senior-level,Full-time,Remote,2022,United States,130000, USD ,United States,Medium,High,1560000
ML Engineer,Senior-level,Full-time,Remote,2022,United States,130000, USD ,United States,Medium,High,1560000
Data Analyst,Senior-level,Full-time,Remote,2022,United States,130000, USD ,United States,Medium,High,1560000
Data Analyst,Mid-level,Full-time,Remote,2022,United States,130000, USD ,United States,Medium,High,1560000
Analytics Engineer,Entry-level,Full-time,Hybrid,2022,United States,130000, USD ,United States,Large,High,1560000
Data Scientist,Mid-level,Full-time,On-site,2022,United States,130000, USD ,United States,Medium,High,1560000
Data Analyst,Executive-level,Full-time,Remote,2022,United States,130000, USD ,United States,Medium,High,1560000
Data Analyst,Senior-level,Full-time,Remote,2022,Canada,130000, USD ,Canada,Medium,High,1560000
Data Scientist,Mid-level,Full-time,Hybrid,2021,United States,130000, USD ,United States,Large,High,1560000
Director of Data Science,Executive-level,Full-time,Remote,2021,Italy,130000, EUR ,Poland,Large,High,1560000
Data Scientist,Senior-level,Full-time,Remote,2021,Canada,130000, CAD ,Canada,Large,High,1560000
Principal Data Scientist,Senior-level,Full-time,Remote,2020,Germany,130000, EUR ,Germany,Medium,High,1560000
Data Scientist,Entry-level,Full-time,Remote,2023,United States,130001, USD ,United States,Medium,High,1560012
Data Engineer,Executive-level,Full-time,Remote,2023,United States,130002, USD ,United States,Medium,High,1560024
Data Engineer,Entry-level,Full-time,Remote,2023,United States,130002, USD ,United States,Medium,High,1560024
Data Analyst,Senior-level,Full-time,Remote,2022,United States,130050, USD ,United States,Medium,High,1560600
Data Analyst,Mid-level,Full-time,On-site,2023,United States,130100, USD ,United States,Medium,High,1561200
Machine Learning Engineer,Senior-level,Full-time,On-site,2023,United States,130100, USD ,United States,Medium,High,1561200
Data Scientist,Senior-level,Full-time,On-site,2022,United States,130240, USD ,United States,Medium,High,1562880
Data Engineer,Mid-level,Full-time,On-site,2023,United States,130400, USD ,United States,Medium,High,1564800
Machine Learning Engineer,Entry-level,Full-time,On-site,2023,United States,130400, USD ,United States,Medium,High,1564800
Data Engineer,Senior-level,Full-time,On-site,2023,United States,130410, USD ,United States,Medium,High,1564920
Data Scientist,Senior-level,Full-time,On-site,2023,United States,130410, USD ,United States,Medium,High,1564920
Data Scientist,Mid-level,Full-time,On-site,2023,United States,130410, USD ,United States,Medium,High,1564920
Data Scientist,Mid-level,Full-time,On-site,2023,United States,130500, USD ,United States,Medium,High,1566000
Data Scientist,Senior-level,Full-time,On-site,2023,United States,130500, USD ,United States,Medium,High,1566000
Data Engineer,Senior-level,Full-time,On-site,2022,United States,130500, USD ,United States,Medium,High,1566000
Applied Scientist,Entry-level,Full-time,On-site,2023,United States,130760, USD ,United States,Large,High,1569120
BI Analyst,Senior-level,Full-time,Remote,2023,United States,130800, USD ,United States,Medium,High,1569600
Data Engineer,Mid-level,Full-time,Remote,2020,Spain,130800, USD ,United States,Medium,High,1569600
Business Intelligence Analyst,Senior-level,Full-time,On-site,2023,United States,130838, USD ,United States,Medium,High,1570056
Data Scientist,Mid-level,Full-time,On-site,2023,United States,130900, USD ,United States,Medium,High,1570800
Data Analytics Manager,Senior-level,Full-time,Remote,2023,United States,130900, USD ,United States,Large,High,1570800
Data Engineer,Entry-level,Full-time,On-site,2023,United States,130916, USD ,United States,Medium,High,1570992
Research Analyst,Entry-level,Full-time,On-site,2023,United States,131000, USD ,United States,Large,High,1572000
Data Scientist,Mid-level,Full-time,On-site,2023,United States,131000, USD ,United States,Medium,High,1572000
Data Scientist,Mid-level,Full-time,Remote,2023,United States,131000, USD ,United States,Medium,High,1572000
Data Engineer,Senior-level,Full-time,On-site,2023,United States,131000, USD ,United States,Medium,High,1572000
Data Analyst,Mid-level,Full-time,On-site,2023,United States,131000, USD ,United States,Medium,High,1572000
Data Scientist,Senior-level,Full-time,Remote,2023,United States,131000, USD ,United States,Medium,High,1572000
Data Analyst,Senior-level,Full-time,On-site,2023,United States,131000, USD ,United States,Medium,High,1572000
Data Engineer,Mid-level,Full-time,On-site,2023,Colombia,131000, USD ,Colombia,Medium,High,1572000
Data Analyst,Senior-level,Full-time,On-site,2022,United States,131000, USD ,United States,Medium,High,1572000
Data Scientist,Senior-level,Full-time,On-site,2023,United States,131100, USD ,United States,Medium,High,1573200
Data Scientist,Mid-level,Full-time,On-site,2023,United States,131100, USD ,United States,Medium,High,1573200
Data Science Consultant,Senior-level,Full-time,On-site,2023,United States,131100, USD ,United States,Medium,High,1573200
Analytics Engineer,Mid-level,Full-time,Remote,2023,United States,131200, USD ,United States,Medium,High,1574400
Data Scientist,Mid-level,Full-time,Remote,2023,United States,131200, USD ,United States,Medium,High,1574400
Data Science Consultant,Senior-level,Full-time,On-site,2023,United States,131250, USD ,United States,Medium,High,1575000
Data Engineer,Senior-level,Full-time,On-site,2024,United States,131300, USD ,United States,Medium,High,1575600
Data Engineer,Senior-level,Full-time,On-site,2023,United States,131300, USD ,United States,Medium,High,1575600
ML Engineer,Senior-level,Full-time,Remote,2022,United States,131300, USD ,United States,Large,High,1575600
Data Architect,Senior-level,Full-time,Remote,2022,United States,131300, USD ,United States,Large,High,1575600
Machine Learning Engineer,Senior-level,Full-time,Remote,2022,United States,131300, USD ,United States,Large,High,1575600
Data Engineer,Senior-level,Full-time,Remote,2022,United States,131300, USD ,United States,Large,High,1575600
Data Scientist,Senior-level,Full-time,On-site,2023,United States,131310, USD ,United States,Medium,High,1575720
Data Analyst,Senior-level,Full-time,Remote,2023,United States,131325, USD ,United States,Medium,High,1575900
Data Engineer,Senior-level,Full-time,Remote,2023,United States,131414, USD ,United States,Medium,High,1576968
Data Scientist,Mid-level,Full-time,On-site,2024,United States,131600, USD ,United States,Medium,High,1579200
Data Analyst,Entry-level,Full-time,Remote,2023,United States,131600, USD ,United States,Medium,High,1579200
Data Analyst,Senior-level,Full-time,On-site,2023,United States,131650, USD ,United States,Medium,High,1579800
Data Analyst,Mid-level,Full-time,On-site,2023,United States,131650, USD ,United States,Medium,High,1579800
Data Analyst,Senior-level,Full-time,On-site,2023,United Kingdom,131685, USD ,United Kingdom,Medium,High,1580220
Data Analyst,Senior-level,Full-time,On-site,2023,United States,131712, USD ,United States,Medium,High,1580544
Head of Data Science,Executive-level,Full-time,On-site,2023,United Kingdom,131899, GBP ,United Kingdom,Medium,High,1582788
Business Intelligence Analyst,Senior-level,Full-time,On-site,2024,United States,132000, USD ,United States,Medium,High,1584000
Data Analyst,Entry-level,Full-time,On-site,2023,United States,132000, USD ,United States,Medium,High,1584000
Data Architect,Senior-level,Full-time,Remote,2023,United States,132000, USD ,United States,Medium,High,1584000
Data Architect,Senior-level,Full-time,On-site,2023,United States,132000, USD ,United States,Medium,High,1584000
Data Engineer,Mid-level,Full-time,Remote,2023,United States,132000, USD ,United States,Medium,High,1584000
Analytics Engineer,Senior-level,Full-time,On-site,2023,United States,132000, USD ,United States,Medium,High,1584000
Data Scientist,Senior-level,Full-time,On-site,2023,United States,132000, USD ,United States,Medium,High,1584000
Machine Learning Engineer,Senior-level,Full-time,Remote,2023,United States,132000, USD ,United States,Medium,High,1584000
Data Engineer,Senior-level,Full-time,Remote,2023,United States,132000, USD ,United States,Medium,High,1584000
Data Analyst,Senior-level,Full-time,On-site,2023,United States,132000, USD ,United States,Medium,High,1584000
Applied Scientist,Mid-level,Full-time,Remote,2023,United States,132000, USD ,United States,Medium,High,1584000
Data Analyst,Senior-level,Full-time,Remote,2023,United States,132000, USD ,United States,Medium,High,1584000
Data Specialist,Senior-level,Full-time,On-site,2023,United States,132000, USD ,United States,Medium,High,1584000
Data Scientist,Senior-level,Full-time,Remote,2023,United States,132000, USD ,United States,Medium,High,1584000
Data Engineer,Senior-level,Full-time,Remote,2022,United States,132000, USD ,United States,Medium,High,1584000
Data Analyst,Senior-level,Full-time,On-site,2022,United States,132000, USD ,United States,Medium,High,1584000
Data Engineer,Senior-level,Full-time,On-site,2022,Canada,132000, USD ,Canada,Medium,High,1584000
Data Engineer,Senior-level,Full-time,On-site,2023,United States,132100, USD ,United States,Medium,High,1585200
Data Engineer,Senior-level,Full-time,Remote,2022,United States,132100, USD ,United States,Large,High,1585200
Data Engineer,Senior-level,Full-time,Remote,2023,United States,132192, USD ,United States,Medium,High,1586304
